depots -e <#depots> -i <#distributors> -t <#trucks> -p <#pallets> -h <#hoists> -c <#crates> [-s <random_seed>]
p0.pddl, 3, 2, 2, 2, 3, 3, 1
p1.pddl, 3, 2, 2, 2, 3, 3, 2
p2.pddl, 3, 2, 2, 2, 4, 3, 1
p3.pddl, 3, 2, 2, 2, 4, 3, 2
p4.pddl, 3, 2, 2, 2, 5, 3, 1
p5.pddl, 3, 2, 2, 2, 5, 3, 2
p6.pddl, 3, 2, 2, 2, 6, 3, 1
p7.pddl, 3, 2, 2, 2, 6, 3, 2
p8.pddl, 3, 2, 2, 2, 7, 3, 1
p9.pddl, 3, 2, 2, 2, 7, 3, 2
p10.pddl, 3, 2, 2, 2, 8, 3, 1
p11.pddl, 3, 2, 2, 2, 8, 3, 2
p12.pddl, 3, 2, 2, 2, 9, 3, 1
p13.pddl, 3, 2, 2, 2, 9, 3, 2
p14.pddl, 3, 2, 2, 2, 10, 3, 1
p15.pddl, 3, 2, 2, 2, 10, 3, 2
p16.pddl, 3, 2, 2, 2, 11, 3, 1
p17.pddl, 3, 2, 2, 2, 11, 3, 2
p18.pddl, 3, 2, 2, 2, 12, 3, 1
p19.pddl, 3, 2, 2, 2, 12, 3, 2
p20.pddl, 3, 2, 2, 2, 13, 3, 1
p21.pddl, 3, 2, 2, 2, 13, 3, 2
p22.pddl, 3, 2, 2, 2, 14, 3, 1
p23.pddl, 3, 2, 2, 2, 14, 3, 2
p24.pddl, 3, 2, 2, 2, 3, 4, 1
p25.pddl, 3, 2, 2, 2, 3, 4, 2
p26.pddl, 3, 2, 2, 2, 4, 4, 1
p27.pddl, 3, 2, 2, 2, 4, 4, 2
p28.pddl, 3, 2, 2, 2, 5, 4, 1
p29.pddl, 3, 2, 2, 2, 5, 4, 2
p30.pddl, 3, 2, 2, 2, 6, 4, 1
p31.pddl, 3, 2, 2, 2, 6, 4, 2
p32.pddl, 3, 2, 2, 2, 7, 4, 1
p33.pddl, 3, 2, 2, 2, 7, 4, 2
p34.pddl, 3, 2, 2, 2, 8, 4, 1
p35.pddl, 3, 2, 2, 2, 8, 4, 2
p36.pddl, 3, 2, 2, 2, 9, 4, 1
p37.pddl, 3, 2, 2, 2, 9, 4, 2
p38.pddl, 3, 2, 2, 2, 10, 4, 1
p39.pddl, 3, 2, 2, 2, 10, 4, 2
p40.pddl, 3, 2, 2, 2, 11, 4, 1
p41.pddl, 3, 2, 2, 2, 11, 4, 2
p42.pddl, 3, 2, 2, 2, 12, 4, 1
