0,176
0,200,597
0,455,579
0,458,390
0,270,461
0,396,464
0,489,467
0,470,411
0,473,480
0,476,378
0,479,654
0,482,558
0,203,243
0,414,485
0,488,327
0,491,438
0,494,525
0
0,459,497
0,500,465
0,503,336
0,506,543
0,399,509
0,206,561
0,512,423
0,515
0,264,518
0,521,546
0,524,450
0,372
0,527,651
0,530,642
0,567,533
0,648,536
0,209,573
0,258,539
0,542,267
0,545,180
0,552
0,222,548
0,551,339
0,554,330
0,240,557
0,560,594
0,189,563
0,492,212
0,498,566
0,569,663
0,572
0,348,575
0,578,183
0,288,581
0
0,360,584
0,612,587
0,549,590
0,215,210
0,606,593
0,596,426
0,599
0,510,602
0,605,417
0,279,608
0,611,477
0,614,321
0,261
0,617,318
0,218,252
0,519,620
0,623,420
0,626,603
0,629,201
0,300,632
0,635,381
0,627,638
0,666,641
0,644,363
0,647,540
0,221,345
0,306,650
0,276,653
0,656,207
0,659
0,483,662
0,665,585
0,224,582
0,227,393
0,213,179
0,273,230
0,312,233
0,468,236
0,294,239
0,186,242
0,245,384
0,248,297
0,657,251
0,254,231
0,435
0,357,182
0,257,225
0,471,260
0,387,263
0,266,177
0,269,351
0,272,291
0,275,507
0,278,504
0,281,513
0,284,576
0,185,537
0,555,287
0,290,501
0,462
0,293,591
0,564,296
0,486,299
0,453,302
0,305,255
0,308,405
0,311,633
0,195
0,660,314
0,317,246
0,342,320
0,282,323
0,326,234
0,315,329
0
0,285,332
0,335,447
0,402,338
0,528,188
0,600,341
0,474,344
0,347,495
0,228,350
0,353,621
0,522,356
0,636,359
0,303,362
0,609,365
0,368,624
0,570,191
0,371,366
0,516,374
0,324,377
0,380,645
0,383,441
0,369,386
0,354,389
0,249,392
0,395,630
0,398
0,194,375
0,401,639
0,404
0,407,432
0,615,410
0,413,219
0,416,429
0,192,419
0,198,422
0,588,425
0,456,428
0,216,197
0,237,431
0,434,204
0,534
0,444
0,309,437
0,440,531
0,618,443
0,408,446
0,449
0,333,452
2,176
2,177
2
2,179
2,180
2
2,182
2,183
2
2,185
2,186
2
2,188
2,189
2
2,191
2,192
2
2,194
2,195
2
2,197
2,198
2
2,200
2,201
2
2,203
2,204
2
2,206
2,207
2
2,209
2,210
2
2,212
2,213
2
2,215
2,216
2
2,218
2,219
2
2,221
2,222
2
2,224
2,225
2
2,227
2,228
2
2,230
2,231
2
2,233
2,234
2
2,236
2,237
2
2,239
2,240
2
2,242
2,243
2
2,245
2,246
2
2,248
2,249
2
2,251
2,252
2
2,254
2,255
2
2,257
2,258
2
2,260
2,261
2
2,263
2,264
2
2,266
2,267
2
2,269
2,270
2
2,272
2,273
2
2,275
2,276
2
2,278
2,279
2
2,281
2,282
2
2,284
2,285
2
2,287
2,288
2
2,290
2,291
2
2,293
2,294
2
2,296
2,297
2
2,299
2,300
2
2,302
2,303
2
2,305
2,306
2
2,308
2,309
2
2,311
2,312
2
2,314
2,315
2
2,317
2,318
2
2,320
2,321
2
2,323
2,324
2
2,326
2,327
2
2,329
2,330
2
2,332
2,333
2
2,335
2,336
2
2,338
2,339
2
2,341
2,342
2
2,344
2,345
2
2,347
2,348
2
2,350
2,351
2
2,353
2,354
2
2,356
2,357
2
2,359
2,360
2
2,362
2,363
2
2,365
2,366
2
2,368
2,369
2
2,371
2,372
2
2,374
2,375
2
2,377
2,378
2
2,380
2,381
2
2,383
2,384
2
2,386
2,387
2
2,389
2,390
2
2,392
2,393
2
2,395
2,396
2
2,398
2,399
2
2,401
2,402
2
2,404
2,405
2
2,407
2,408
2
2,410
2,411
2
2,413
2,414
2
2,416
2,417
2
2,419
2,420
2
2,422
2,423
2
2,425
2,426
2
2,428
2,429
2
2,431
2,432
2
2,434
2,435
2
2,437
2,438
2
2,440
2,441
2
2,443
2,444
2
2,446
2,447
2
2,449
2,450
2
2,452
2,453
2
2,455
2,456
2
2,458
2,459
2
2,461
2,462
2
2,464
2,465
2
2,467
2,468
2
2,470
2,471
2
2,473
2,474
2
2,476
2,477
2
2,479
2,480
2
2,482
2,483
2
2,485
2,486
2
2,488
2,489
2
2,491
2,492
2
2,494
2,495
2
2,497
2,498
2
2,500
2,501
2
2,503
2,504
2
2,506
2,507
2
2,509
2,510
2
2,512
2,513
2
2,515
2,516
2
2,518
2,519
2
2,521
2,522
2
2,524
2,525
2
2,527
2,528
2
2,530
2,531
2
2,533
2,534
2
2,536
2,537
2
2,539
2,540
2
2,542
2,543
2
2,545
2,546
2
2,548
2,549
2
2,551
2,552
2
2,554
2,555
2
2,557
2,558
2
2,560
2,561
2
2,563
2,564
2
2,566
2,567
2
2,569
2,570
2
2,572
2,573
2
2,575
2,576
2
2,578
2,579
2
2,581
2,582
2
2,584
2,585
2
2,587
2,588
2
2,590
2,591
2
2,593
2,594
2
2,596
2,597
2
2,599
2,600
2
2,602
2,603
2
2,605
2,606
2
2,608
2,609
2
2,611
2,612
2
2,614
2,615
2
2,617
2,618
2
2,620
2,621
2
2,623
2,624
2
2,626
2,627
2
2,629
2,630
2
2,632
2,633
2
2,635
2,636
2
2,638
2,639
2
2,641
2,642
2
2,644
2,645
2
2,647
2,648
2
2,650
2,651
2
2,653
2,654
2
2,656
2,657
2
2,659
2,660
2
2,662
2,663
2
2,665
2,666
2
3,719,713,716,678,680
3,695,677,681,697,694,679,696,667
3,683,729,723,726
3,698,700,701,699,682,669
3,732,741,734,687
3,685,735,738
3,704,671,703,684,702,686,672,705,706
3,689,748,752,743,692
3,690,745,749
3,709,691,693,688,710,711,708,675,707,674
4,678
4
4,680
4
4
4,683
4
4,685
4
4,687
4
4,689
4,690
4
4,692
4
4
5,712
5,714
5,717
5,720
5,722
5,724
5,725
5,727
5,730
5,731
5,733
5,736
5,739
5,742
5,744
5,746
5,750
5,753
6,713
6
6,715
6,716
6
6,718
6,719
6
6,721
6
6,723
6
6
6,726
6
6,728
6,729
6
6
6,732
6
6,734
6,735
6
6,737
6,738
6
6,740
6,741
6
6,743
6
6,745
6
6,747
6,748
6,749
6
6,751
6,752
6
6,754
6
12,724,754,681,693,721,730
12,751,691,744,677,715,737,684,731,722
12,686,712,728,682,740,742
12,322,466,520,637,526,547,517,460,607,235,412,598,604,244,646,613,250,394,331,283,223,175,583,475,232,184,379,562,436,571,580,601,442,469,616,382,211,529,355,532,568,247,538,649,478,733,256,658,373,316,664,397,343,640,747,352,586,406,187,418,439,391,661,688,502,550,565,454,619,340,487,400,229,544,238,319,274,511,268,409,448,367,301,253,424,430,451,481,484,310,505,262,457,652,574,295,610,631,472,298,289,553,589,556,190,385,337,196,346,286,433,259,292,271,265,388,559,523,334,280,220,622,643,655,370,307,421,193,349,208,403,181,241,358,493,427,577,445,304,277,592,508,514,535,217,541,625,178,628,490,634,313,499,205,325,364,328,595,415,214,361,226,496,199,376,202,463
12,725,718,679
