Usage: maintenance <days> <planes> <mechanics> <cities> <visits> [<seed>]
gp0.pddl, 30 90 1 3 5 1
p1.pddl, 30 90 1 3 5 2
p2.pddl, 30 90 1 3 5 3
p3.pddl, 30 90 1 3 5 4
p4.pddl, 30 90 1 3 5 6
p5.pddl, 30 90 1 3 5 7
p6.pddl, 30 90 1 3 5 8
p7.pddl, 30 90 1 3 6 1
p8.pddl, 30 90 1 3 6 2
p9.pddl, 30 90 1 3 6 3
p10.pddl, 30 90 1 3 6 4
p11.pddl, 30 90 1 3 6 6
p12.pddl, 30 90 1 3 6 7
p13.pddl, 30 90 1 3 6 8
p14.pddl, 30 90 1 3 7 1
p15.pddl, 30 90 1 3 7 2
p16.pddl, 30 90 1 3 7 3
p17.pddl, 30 90 1 3 7 4
p18.pddl, 30 90 1 3 7 6
p19.pddl, 30 90 1 3 7 7
p20.pddl, 30 90 1 3 7 8
p21.pddl, 30 100 1 3 5 1
p22.pddl, 30 100 1 3 5 2
p23.pddl, 30 100 1 3 5 3
p24.pddl, 30 100 1 3 5 4
p25.pddl, 30 100 1 3 5 6
p26.pddl, 30 100 1 3 5 7
p27.pddl, 30 100 1 3 5 8
p28.pddl, 30 100 1 3 6 1
p29.pddl, 30 100 1 3 6 2
p30.pddl, 30 100 1 3 6 3
p31.pddl, 30 100 1 3 6 4
p32.pddl, 30 100 1 3 6 6
p33.pddl, 30 100 1 3 6 7
p34.pddl, 30 100 1 3 6 8
p35.pddl, 30 100 1 3 7 1
p36.pddl, 30 100 1 3 7 2
p37.pddl, 30 100 1 3 7 3
p38.pddl, 30 100 1 3 7 4
p39.pddl, 30 100 1 3 7 6
p40.pddl, 30 100 1 3 7 7
p41.pddl, 30 100 1 3 7 8
p42.pddl, 30 120 1 3 5 1
p43.pddl, 30 120 1 3 5 2
p44.pddl, 30 120 1 3 5 3
p45.pddl, 30 120 1 3 5 4
p46.pddl, 30 120 1 3 5 6
p47.pddl, 30 120 1 3 5 7
p48.pddl, 30 120 1 3 5 8
p49.pddl, 30 120 1 3 6 1
p50.pddl, 30 120 1 3 6 2
p51.pddl, 30 120 1 3 6 3
p52.pddl, 30 120 1 3 6 4
p53.pddl, 30 120 1 3 6 6
p54.pddl, 30 120 1 3 6 7
p55.pddl, 30 120 1 3 6 8
p56.pddl, 30 120 1 3 7 1
p57.pddl, 30 120 1 3 7 2
p58.pddl, 30 120 1 3 7 3
p59.pddl, 30 120 1 3 7 4
p60.pddl, 30 120 1 3 7 6
p61.pddl, 30 120 1 3 7 7
p62.pddl, 30 120 1 3 7 8
p63.pddl, 30 140 1 3 5 1
p64.pddl, 30 140 1 3 5 2
p65.pddl, 30 140 1 3 5 3
p66.pddl, 30 140 1 3 5 4
p67.pddl, 30 140 1 3 5 6
p68.pddl, 30 140 1 3 5 7
p69.pddl, 30 140 1 3 5 8
p70.pddl, 30 140 1 3 6 1
p71.pddl, 30 140 1 3 6 2
p72.pddl, 30 140 1 3 6 3
p73.pddl, 30 140 1 3 6 4
p74.pddl, 30 140 1 3 6 6
p75.pddl, 30 140 1 3 6 7
p76.pddl, 30 140 1 3 6 8
p77.pddl, 30 140 1 3 7 1
p78.pddl, 30 140 1 3 7 2
p79.pddl, 30 140 1 3 7 3
p80.pddl, 30 140 1 3 7 4
p81.pddl, 30 140 1 3 7 6
p82.pddl, 30 140 1 3 7 7
p83.pddl, 30 140 1 3 7 8
p84.pddl, 60 180 1 3 5 1
p85.pddl, 60 180 1 3 5 2
p86.pddl, 60 180 1 3 5 3
p87.pddl, 60 180 1 3 5 4
p88.pddl, 60 180 1 3 5 6
p89.pddl, 60 180 1 3 5 7
p90.pddl, 60 180 1 3 5 8
p91.pddl, 60 180 1 3 6 1
p92.pddl, 60 180 1 3 6 2
p93.pddl, 60 180 1 3 6 3
p94.pddl, 60 180 1 3 6 4
p95.pddl, 60 180 1 3 6 6
p96.pddl, 60 180 1 3 6 7
p97.pddl, 60 180 1 3 6 8
p98.pddl, 60 180 1 3 7 1
p99.pddl, 60 180 1 3 7 2
p100.pddl, 60 180 1 3 7 3
p101.pddl, 60 180 1 3 7 4
p102.pddl, 60 180 1 3 7 6
p103.pddl, 60 180 1 3 7 7
p104.pddl, 60 180 1 3 7 8
p105.pddl, 60 190 1 3 5 1
p106.pddl, 60 190 1 3 5 2
p107.pddl, 60 190 1 3 5 3
p108.pddl, 60 190 1 3 5 4
p109.pddl, 60 190 1 3 5 6
